case_id,driver_id,relevance,evidence_status,top_category,top_probability,distribution
case_081,business.scope_maturity,relevant,explicit,well_defined,0.9,"{""exploratory"": 0.0, ""partial"": 0.1, ""unknown"": 0.0, ""well_defined"": 0.9}"
case_081,data.annotation_ambiguity,relevant,explicit,moderate,0.7,"{""high"": 0.2, ""low"": 0.0, ""moderate"": 0.7, ""unknown"": 0.1}"
case_081,data.annotation_need,relevant,explicit,full,0.9,"{""full"": 0.9, ""none"": 0.0, ""partial"": 0.1, ""unknown"": 0.0, ""validation_only"": 0.0}"
case_081,data.annotation_volume,relevant,explicit,from_10k_to_100k,0.9,"{""from_10k_to_100k"": 0.9, ""over_100k"": 0.1, ""unknown"": 0.0}"
case_081,data.quality,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,data.scale,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,data.sensitivity,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,data.source_count,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,data.source_heterogeneity,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,documentation.audit_trail_required,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,documentation.required_depth,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,evaluation.human_in_loop,relevant,explicit,workflow,0.7,"{""mandatory_approval"": 0.0, ""none"": 0.0, ""sampling"": 0.2, ""unknown"": 0.1, ""workflow"": 0.7}"
case_081,evaluation.target_quality,relevant,explicit,high,0.7,"{""business_acceptable"": 0.2, ""exploratory"": 0.0, ""high"": 0.7, ""near_human_or_better"": 0.0, ""unknown"": 0.1}"
case_081,experimentation.online_validation,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,functional.use_case_count,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,infrastructure.environments,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,integration.system_count,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,ml.problem_novelty,relevant,explicit,adapted,0.7,"{""adapted"": 0.7, ""novel"": 0.0, ""standard"": 0.2, ""unknown"": 0.1}"
case_081,mlops.automation,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,model.modality_count,relevant,explicit,one,0.9,"{""one"": 0.9, ""unknown"": 0.1}"
case_081,model.solution_customization,relevant,explicit,off_the_shelf,0.7,"{""api_configuration"": 0.0, ""custom_training"": 0.0, ""fine_tuning"": 0.2, ""off_the_shelf"": 0.7, ""research"": 0.0, ""unknown"": 0.1}"
case_081,monitoring.coverage,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,performance.latency_requirement,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,reliability.availability,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,rollout.deployment_scope,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,scalability.load_level,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,security.access_control,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,serving.delivery_mode,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_081,user_interface.interaction_surface,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,business.scope_maturity,relevant,explicit,well_defined,0.9,"{""exploratory"": 0.0, ""partial"": 0.1, ""unknown"": 0.0, ""well_defined"": 0.9}"
case_082,data.quality,insufficient_context,inferred,moderate,0.6,"{""critical"": 0.0, ""high"": 0.3, ""low"": 0.0, ""moderate"": 0.6, ""unknown"": 0.1}"
case_082,data.scale,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,data.sensitivity,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,data.source_count,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,data.source_heterogeneity,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,documentation.audit_trail_required,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,documentation.required_depth,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,evaluation.human_in_loop,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,evaluation.target_quality,relevant,explicit,business_acceptable,0.7,"{""business_acceptable"": 0.7, ""exploratory"": 0.0, ""high"": 0.2, ""near_human_or_better"": 0.0, ""unknown"": 0.1}"
case_082,experimentation.online_validation,relevant,explicit,pilot,0.9,"{""ab_test"": 0.1, ""multi_stage"": 0.0, ""none"": 0.0, ""pilot"": 0.9, ""unknown"": 0.0}"
case_082,functional.use_case_count,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,infrastructure.environments,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,integration.system_count,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,ml.problem_novelty,relevant,explicit,adapted,0.7,"{""adapted"": 0.7, ""novel"": 0.0, ""standard"": 0.2, ""unknown"": 0.1}"
case_082,mlops.automation,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,model.modality_count,relevant,explicit,one,0.9,"{""one"": 0.9, ""three_plus"": 0.0, ""two"": 0.0, ""unknown"": 0.1}"
case_082,model.solution_customization,relevant,explicit,custom_training,0.8,"{""api_configuration"": 0.0, ""custom_training"": 0.8, ""fine_tuning"": 0.1, ""off_the_shelf"": 0.05, ""research"": 0.0, ""unknown"": 0.05}"
case_082,monitoring.coverage,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,performance.latency_requirement,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,reliability.availability,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,rollout.deployment_scope,relevant,explicit,multi_region,0.7,"{""multi_region"": 0.7, ""multi_team"": 0.0, ""organization"": 0.2, ""single_team"": 0.0, ""unknown"": 0.1}"
case_082,scalability.load_level,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,security.access_control,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,serving.delivery_mode,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
case_082,user_interface.interaction_surface,insufficient_context,not_stated,unknown,1.0,"{""unknown"": 1.0}"
